Dishes & Customizations Breakdown,Type,item_id,Category,Is_Drink,Is_Dessert,Is_Cold,Is_Signature
hot red bean soup c (taro balls & red bean soup & melon jelly & rice balls & boba),dish,hot red bean soup c (taro balls & red bean soup & melon jelly & rice balls & boba),hot red bean soup series,0,1,1.0,0
purple rice milk tea,dish,purple rice milk tea,purple rice drink,1,0,1.0,0
hot almond soup -seasonal,dish,hot almond soup -seasonal,create your own (base),0,1,0.0,0
hot almond soup w purple rice,dish,hot almond soup w purple rice,purple rice series,0,1,1.0,0
hot red bean soup a (taro balls & red bean soup & red beans & peanuts & boba),dish,hot red bean soup a (taro balls & red bean soup & red beans & peanuts & boba),hot red bean soup series,0,1,0.0,0
taro balls (topping),dish,taro balls (topping),topping,0,1,0.5,0
taro paste (topping),dish,taro paste (topping),topping,0,1,0.5,0
fresh milk green tea,dish,fresh milk green tea,fresh milk,1,0,0.5,0
fresh milk oolong tea w. taro paste (1 scoop),dish,fresh milk oolong tea w. taro paste,fresh milk,1,0,0.5,0
q mochi,dish,q mochi,small bites,0,1,0.5,0
cold coco sago,dish,cold coco sago,create your own (base),0,1,1.0,0
cold coco sago a,dish,cold coco sago a,coco sago,0,1,1.0,0
free winter melon tea,dish,free winter melon tea,unknown,1,0,0.5,0
orange & passion fruit green tea,dish,orange & passion fruit green tea,fruit series,1,0,0.5,0
almond pudding (topping),dish,almond pudding (topping),topping,0,1,0.5,0
jin xuan oolong tea,dish,jin xuan oolong tea,teas,1,0,0.5,0
free caramel pudding w. boba,dish,free caramel pudding w. boba,unknown,0,1,0.5,0
fresh milk black tea,dish,fresh milk black tea,fresh milk,1,0,0.5,0
almond pudding w red beans,dish,almond pudding w red beans,small bites,0,1,0.5,0
free mung bean cakes & peanut & sesame mochi,dish,free mung bean cakes & peanut & sesame mochi,unknown,0,1,0.5,0
cold coco sago signature,dish,cold coco sago signature,coco sago,0,1,1.0,1
boba (topping),dish,boba (topping),topping,0,1,0.5,0
q mochi (topping),dish,q mochi (topping),topping,0,1,0.5,0
free icy grass jelly signature,dish,free icy grass jelly signature,unknown,0,1,1.0,1
condensed milk (1 scoop),dish,condensed milk (1 scoop),topping,0,1,0.5,0
hot almond soup,dish,hot almond soup,our dessert combo,0,1,0.0,0
miss you drink,dish,miss you drink,herbal teas,1,0,0.5,0
purple rice fresh milk,dish,purple rice fresh milk,purple rice drink,1,0,1.0,0
purple rice soup b (purple rice soup & red beans & taro & boba),dish,purple rice soup b (purple rice soup & red beans & taro & boba),purple rice series,0,1,1.0,0
q mochi & almond pudding,dish,q mochi & almond pudding,small bites,0,1,0.5,0
hot almond soup b (taro balls & almond flakes & almond soup & taro & red beans & boba),dish,hot almond soup b (taro balls & almond flakes & almond soup & taro & red beans & boba),hot almond drink,0,1,0.0,0
hot boba almond drink,dish,hot boba almond drink,seasonal drink,1,0,0.0,0
fluffy mini taro balls winter melon tea,dish,fluffy mini taro balls winter melon tea,fluffy series,1,0,0.5,0
fresh milk jin xuan tea,dish,fresh milk jin xuan tea,fresh milk,1,0,0.5,0
mini taro balls (topping),dish,mini taro balls (topping),topping,0,1,0.5,0
mixed fruit green tea slush,dish,mixed fruit green tea slush,slush series,1,0,1.0,0
ice cream (topping),dish,ice cream (topping),topping,0,1,1.0,0
mango green tea slush,dish,mango green tea slush,slush series,1,0,1.0,0
free double taro signature,dish,free double taro signature,unknown,0,1,0.5,1
jin xuan oolong milk tea,dish,jin xuan oolong milk tea,milk teas,1,0,0.5,0
tofu pudding (1 slice),dish,tofu pudding (1 slice),topping,0,1,1.0,0
fluffy black tea,dish,fluffy black tea,fluffy series,1,0,0.5,0
fluffy winter melon tea,dish,fluffy winter melon tea,fluffy series,1,0,0.5,0
grass jelly (topping),dish,grass jelly (topping),topping,0,1,0.5,0
red beans (topping),dish,red beans (topping),topping,0,1,0.5,0
taro (topping),dish,taro (topping),topping,0,1,0.5,0
purple rice soup c (purple rice soup & melon jelly & rice balls & boba),dish,purple rice soup c (purple rice soup & melon jelly & rice balls & boba),purple rice series,0,1,1.0,0
